"Job ID";"Internal ID";"Task ID";"Project ID";"Source";"Target";"Created";"Created by";"Job due date";"Project due date";"File";"Extension";"Workflow";"Workflow level";"Job status";"Job status changed";"Project status";"Project status changed";"Linguist";"Vendor";"Wordcount";"Currency";"Rate";"Price";"Owner";"Client";"Domain";"Subdomain";"Cost Center";"Business Unit"
"202091836";"1";"QSux7q7bNA0UwFpL0_dc5";"NoqNikU7aEb69lFxC7ufF3";"en";"de_at";"26-05-2020 15:06:24";"dk_support";"";"26-05-2020 08:00:00";"test_missing_lg.xlsx";"xlsx";"Translation";"1";"NEW";"";"NEW";"";"";"";"7";"";"0";"0";"dk_support";"";"";"";"";""
"202091837";"1";"QSux7q7bNA0UwFpL0_dc5";"NoqNikU7aEb69lFxC7ufF3";"en";"de_at";"26-05-2020 15:06:24";"dk_support";"";"26-05-2020 08:00:00";"test_missing_lg.xlsx";"xlsx";"Revision";"2";"NEW";"";"NEW";"";"";"";"7";"";"0";"0";"dk_support";"";"";"";"";""
"202091838";"2";"RSux7q7bNA0UwFpL0_dc6";"NoqNikU7aEb69lFxC7ufF3";"en";"de_de";"26-05-2020 15:06:24";"dk_support";"";"26-05-2020 08:00:00";"test_missing_lg.xlsx";"xlsx";"Translation";"1";"NEW";"";"NEW";"";"";"";"7";"";"0";"0";"dk_support";"";"";"";"";""
"202091839";"2";"RSux7q7bNA0UwFpL0_dc6";"NoqNikU7aEb69lFxC7ufF3";"en";"de_de";"26-05-2020 15:06:24";"dk_support";"";"26-05-2020 08:00:00";"test_missing_lg.xlsx";"xlsx";"Revision";"2";"NEW";"";"NEW";"";"";"";"7";"";"0";"0";"dk_support";"";"";"";"";""
"202091840";"3";"MFAbqJCyNyisMQIn_dc6";"NoqNikU7aEb69lFxC7ufF3";"en";"en_gb";"26-05-2020 15:06:24";"dk_support";"";"26-05-2020 08:00:00";"test_missing_lg.xlsx";"xlsx";"Translation";"1";"NEW";"";"NEW";"";"";"";"7";"";"0";"0";"dk_support";"";"";"";"";""
"202091841";"3";"MFAbqJCyNyisMQIn_dc6";"NoqNikU7aEb69lFxC7ufF3";"en";"en_gb";"26-05-2020 15:06:24";"dk_support";"";"26-05-2020 08:00:00";"test_missing_lg.xlsx";"xlsx";"Revision";"2";"NEW";"";"NEW";"";"";"";"7";"";"0";"0";"dk_support";"";"";"";"";""
"202091842";"4";"NFAbqJCyNyisMQIn_dc5";"NoqNikU7aEb69lFxC7ufF3";"en";"en_us";"26-05-2020 15:06:24";"dk_support";"";"26-05-2020 08:00:00";"test_missing_lg.xlsx";"xlsx";"Translation";"1";"NEW";"";"NEW";"";"";"";"7";"";"0";"0";"dk_support";"";"";"";"";""
"202091843";"4";"NFAbqJCyNyisMQIn_dc5";"NoqNikU7aEb69lFxC7ufF3";"en";"en_us";"26-05-2020 15:06:24";"dk_support";"";"26-05-2020 08:00:00";"test_missing_lg.xlsx";"xlsx";"Revision";"2";"NEW";"";"NEW";"";"";"";"7";"";"0";"0";"dk_support";"";"";"";"";""
"202091844";"5";"OFAbqJCyNyisMQIn_dc6";"NoqNikU7aEb69lFxC7ufF3";"en";"es_ar";"26-05-2020 15:06:24";"dk_support";"";"26-05-2020 08:00:00";"test_missing_lg.xlsx";"xlsx";"Translation";"1";"NEW";"";"NEW";"";"";"";"7";"";"0";"0";"dk_support";"";"";"";"";""
"202091845";"5";"OFAbqJCyNyisMQIn_dc6";"NoqNikU7aEb69lFxC7ufF3";"en";"es_ar";"26-05-2020 15:06:24";"dk_support";"";"26-05-2020 08:00:00";"test_missing_lg.xlsx";"xlsx";"Revision";"2";"NEW";"";"NEW";"";"";"";"7";"";"0";"0";"dk_support";"";"";"";"";""
"202091846";"6";"PFAbqJCyNyisMQIn_dc5";"NoqNikU7aEb69lFxC7ufF3";"en";"es_es";"26-05-2020 15:06:24";"dk_support";"";"26-05-2020 08:00:00";"test_missing_lg.xlsx";"xlsx";"Translation";"1";"NEW";"";"NEW";"";"";"";"7";"";"0";"0";"dk_support";"";"";"";"";""
